continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Afghanistan,2021-01-03,41128772,52709.0,861.0,2221.0,63.0
Asia,Afghanistan,2021-01-10,41128772,53489.0,780.0,2277.0,56.0
Asia,Afghanistan,2021-01-17,41128772,53984.0,495.0,2339.0,62.0
Asia,Afghanistan,2021-01-24,41128772,54595.0,611.0,2378.0,39.0
Asia,Afghanistan,2021-01-31,41128772,55023.0,428.0,2400.0,22.0
Asia,Afghanistan,2021-02-07,41128772,55335.0,312.0,2410.0,10.0
Asia,Afghanistan,2021-02-14,41128772,55492.0,157.0,2427.0,17.0
Asia,Afghanistan,2021-02-21,41128772,55604.0,112.0,2432.0,5.0
Asia,Afghanistan,2021-02-28,41128772,55714.0,110.0,2443.0,11.0
Asia,Afghanistan,2021-03-07,41128772,55847.0,133.0,2449.0,6.0
Asia,Afghanistan,2021-03-14,41128772,55985.0,138.0,2457.0,8.0
Asia,Afghanistan,2021-03-21,41128772,56103.0,118.0,2463.0,6.0
Asia,Afghanistan,2021-03-28,41128772,56294.0,191.0,2470.0,7.0
Asia,Afghanistan,2021-04-04,41128772,56676.0,382.0,2497.0,27.0
Asia,Afghanistan,2021-04-11,41128772,57160.0,484.0,2521.0,24.0
Asia,Afghanistan,2021-04-18,41128772,57793.0,633.0,2539.0,18.0
Asia,Afghanistan,2021-04-25,41128772,58843.0,1050.0,2582.0,43.0
Asia,Afghanistan,2021-05-02,41128772,60122.0,1279.0,2637.0,55.0
Asia,Afghanistan,2021-05-09,41128772,61842.0,1720.0,2686.0,49.0
Asia,Afghanistan,2021-05-16,41128772,63484.0,1642.0,2742.0,56.0
Asia,Afghanistan,2021-05-23,41128772,65728.0,2244.0,2802.0,60.0
Asia,Afghanistan,2021-05-30,41128772,70761.0,5033.0,2919.0,117.0
Asia,Afghanistan,2021-06-06,41128772,79224.0,8463.0,3145.0,226.0
Asia,Afghanistan,2021-06-13,41128772,89861.0,10637.0,3527.0,382.0
Asia,Afghanistan,2021-06-20,41128772,101906.0,12045.0,4122.0,595.0
Asia,Afghanistan,2021-06-27,41128772,114220.0,12314.0,4650.0,528.0
Asia,Afghanistan,2021-07-04,41128772,124748.0,10528.0,5199.0,549.0
Asia,Afghanistan,2021-07-11,41128772,133578.0,8830.0,5724.0,525.0
Asia,Afghanistan,2021-07-18,41128772,140602.0,7024.0,6147.0,423.0
Asia,Afghanistan,2021-07-25,41128772,143871.0,3269.0,6425.0,278.0
Asia,Afghanistan,2021-08-01,41128772,147501.0,3630.0,6737.0,312.0
Asia,Afghanistan,2021-08-08,41128772,150458.0,2957.0,6908.0,171.0
Asia,Afghanistan,2021-08-15,41128772,152033.0,1575.0,7021.0,113.0
Asia,Afghanistan,2021-08-22,41128772,152511.0,478.0,7070.0,49.0
Asia,Afghanistan,2021-08-29,41128772,153033.0,522.0,7109.0,39.0
Asia,Afghanistan,2021-09-05,41128772,153423.0,390.0,7132.0,23.0
Asia,Afghanistan,2021-09-12,41128772,153990.0,567.0,7167.0,35.0
Asia,Afghanistan,2021-09-19,41128772,154539.0,549.0,7199.0,32.0
Asia,Afghanistan,2021-10-03,41128772,155141.0,242.0,7212.0,13.0
Asia,Afghanistan,2021-10-10,41128772,155344.0,203.0,7221.0,9.0
Asia,Afghanistan,2021-10-17,41128772,155617.0,273.0,7238.0,17.0
Asia,Afghanistan,2021-10-24,41128772,155818.0,201.0,7253.0,15.0
Asia,Afghanistan,2021-10-31,41128772,156088.0,270.0,7272.0,19.0
Asia,Afghanistan,2021-11-07,41128772,156275.0,187.0,7284.0,12.0
Asia,Afghanistan,2021-11-14,41128772,156512.0,237.0,7292.0,8.0
Asia,Afghanistan,2021-11-21,41128772,156864.0,352.0,7301.0,9.0
Asia,Afghanistan,2021-11-28,41128772,157190.0,326.0,7308.0,7.0
Asia,Afghanistan,2021-12-05,41128772,157431.0,241.0,7312.0,4.0
Asia,Afghanistan,2021-12-12,41128772,157611.0,180.0,7325.0,13.0
Asia,Afghanistan,2021-12-19,41128772,157745.0,134.0,7333.0,8.0
Asia,Afghanistan,2021-12-26,41128772,157902.0,157.0,7352.0,19.0
Asia,Afghanistan,2022-01-02,41128772,158112.0,210.0,7356.0,4.0
Asia,Afghanistan,2022-01-09,41128772,158345.0,233.0,7369.0,13.0
Asia,Afghanistan,2022-01-16,41128772,158678.0,333.0,7378.0,9.0
Asia,Afghanistan,2022-01-23,41128772,159548.0,870.0,7390.0,12.0
Asia,Afghanistan,2022-01-30,41128772,161666.0,2118.0,7407.0,17.0
Asia,Afghanistan,2022-02-06,41128772,165712.0,4046.0,7425.0,18.0
Asia,Afghanistan,2022-02-13,41128772,170152.0,4440.0,7488.0,63.0
Asia,Afghanistan,2022-02-20,41128772,171930.0,1778.0,7534.0,46.0
Asia,Afghanistan,2022-02-27,41128772,173180.0,1250.0,7588.0,54.0
Asia,Afghanistan,2022-03-06,41128772,174347.0,1167.0,7622.0,34.0
Asia,Afghanistan,2022-03-13,41128772,176062.0,1715.0,7642.0,20.0
Asia,Afghanistan,2022-03-20,41128772,177039.0,977.0,7652.0,10.0
Asia,Afghanistan,2022-03-27,41128772,177474.0,435.0,7660.0,8.0
Asia,Afghanistan,2022-04-03,41128772,177805.0,331.0,7671.0,11.0
Asia,Afghanistan,2022-04-10,41128772,178090.0,285.0,7675.0,4.0
Asia,Afghanistan,2022-04-17,41128772,178387.0,297.0,7676.0,1.0
Asia,Afghanistan,2022-04-24,41128772,178648.0,261.0,7681.0,5.0
Asia,Afghanistan,2022-05-01,41128772,178879.0,231.0,7683.0,2.0
Asia,Afghanistan,2022-05-08,41128772,178923.0,44.0,7684.0,1.0
Asia,Afghanistan,2022-05-15,41128772,179243.0,320.0,7690.0,6.0
Asia,Afghanistan,2022-05-22,41128772,179674.0,431.0,7697.0,7.0
Asia,Afghanistan,2022-05-29,41128772,180123.0,449.0,7701.0,4.0
Asia,Afghanistan,2022-06-05,41128772,180618.0,495.0,7709.0,8.0
Asia,Afghanistan,2022-06-19,41128772,181574.0,541.0,7713.0,4.0
Asia,Afghanistan,2022-06-26,41128772,182072.0,498.0,7717.0,4.0
Asia,Afghanistan,2022-07-03,41128772,182643.0,571.0,7724.0,7.0
Asia,Afghanistan,2022-07-10,41128772,183219.0,576.0,7727.0,3.0
Asia,Afghanistan,2022-07-17,41128772,183450.0,231.0,7730.0,3.0
Asia,Afghanistan,2022-07-24,41128772,184474.0,1024.0,7738.0,8.0
Asia,Afghanistan,2022-07-31,41128772,185580.0,1106.0,7747.0,9.0
Asia,Afghanistan,2022-08-07,41128772,187046.0,1466.0,7752.0,5.0
Asia,Afghanistan,2022-08-14,41128772,188831.0,1785.0,7758.0,6.0
Asia,Afghanistan,2022-08-21,41128772,190435.0,1604.0,7759.0,1.0
Asia,Afghanistan,2022-08-28,41128772,192208.0,1773.0,7774.0,15.0
Asia,Afghanistan,2022-09-04,41128772,193887.0,1679.0,7780.0,6.0
Asia,Afghanistan,2022-09-11,41128772,195647.0,1760.0,7787.0,7.0
Asia,Afghanistan,2022-09-18,41128772,197082.0,1435.0,7794.0,7.0
Asia,Afghanistan,2022-09-25,41128772,198283.0,1201.0,7796.0,2.0
Asia,Afghanistan,2022-10-02,41128772,199272.0,989.0,7799.0,3.0
Asia,Afghanistan,2022-10-09,41128772,200199.0,927.0,7804.0,5.0
Asia,Afghanistan,2022-10-16,41128772,201096.0,897.0,7811.0,7.0
Asia,Afghanistan,2022-10-23,41128772,202029.0,933.0,7818.0,7.0
Asia,Afghanistan,2022-10-30,41128772,202834.0,805.0,7821.0,3.0
Asia,Afghanistan,2022-11-06,41128772,203618.0,784.0,7826.0,5.0
Asia,Afghanistan,2022-11-13,41128772,204431.0,813.0,7829.0,3.0
Asia,Afghanistan,2022-11-20,41128772,205012.0,581.0,7831.0,2.0
Asia,Afghanistan,2022-11-27,41128772,205596.0,584.0,7833.0,2.0
Asia,Afghanistan,2022-12-04,41128772,206164.0,568.0,7834.0,1.0
Asia,Afghanistan,2022-12-11,41128772,206545.0,381.0,7839.0,5.0
Asia,Afghanistan,2022-12-18,41128772,206986.0,441.0,7844.0,5.0
Asia,Afghanistan,2022-12-25,41128772,207322.0,336.0,7845.0,1.0
Asia,Afghanistan,2023-01-01,41128772,207579.0,257.0,7849.0,4.0
Asia,Armenia,2021-01-03,2780472,160027.0,2193.0,2850.0,82.0
Asia,Armenia,2021-01-10,2780472,162131.0,2104.0,2929.0,79.0
Asia,Armenia,2021-01-17,2780472,164586.0,2455.0,2992.0,63.0
Asia,Armenia,2021-01-24,2780472,166036.0,1450.0,3039.0,47.0
Asia,Armenia,2021-01-31,2780472,167026.0,990.0,3080.0,41.0
Asia,Armenia,2021-02-07,2780472,168088.0,1062.0,3117.0,37.0
Asia,Armenia,2021-02-14,2780472,169167.0,1079.0,3141.0,24.0
Asia,Armenia,2021-02-21,2780472,170402.0,1235.0,3164.0,23.0
Asia,Armenia,2021-02-28,2780472,172058.0,1656.0,3192.0,28.0
Asia,Armenia,2021-03-07,2780472,174679.0,2621.0,3221.0,29.0
Asia,Armenia,2021-03-14,2780472,178385.0,3706.0,3255.0,34.0
Asia,Armenia,2021-03-21,2780472,183713.0,5328.0,3348.0,93.0
Asia,Armenia,2021-03-28,2780472,190317.0,6604.0,3464.0,116.0
Asia,Armenia,2021-04-04,2780472,196634.0,6317.0,3592.0,128.0
Asia,Armenia,2021-04-11,2780472,202817.0,6183.0,3735.0,143.0
Asia,Armenia,2021-04-18,2780472,208520.0,5703.0,3878.0,143.0
Asia,Armenia,2021-04-25,2780472,213288.0,4768.0,4018.0,140.0
Asia,Armenia,2021-05-02,2780472,216863.0,3575.0,4139.0,121.0
Asia,Armenia,2021-05-09,2780472,219270.0,2407.0,4234.0,95.0
Asia,Armenia,2021-05-16,2780472,220860.0,1590.0,4323.0,89.0
Asia,Armenia,2021-05-23,2780472,221948.0,1088.0,4392.0,69.0
Asia,Armenia,2021-05-30,2780472,222636.0,688.0,4432.0,40.0
Asia,Armenia,2021-06-06,2780472,223180.0,544.0,4458.0,26.0
Asia,Armenia,2021-06-13,2780472,223682.0,502.0,4484.0,26.0
Asia,Armenia,2021-06-20,2780472,224227.0,545.0,4498.0,14.0
Asia,Armenia,2021-06-27,2780472,224797.0,570.0,4508.0,10.0
Asia,Armenia,2021-07-04,2780472,225553.0,756.0,4526.0,18.0
Asia,Armenia,2021-07-11,2780472,226388.0,835.0,4544.0,18.0
Asia,Armenia,2021-07-18,2780472,227430.0,1042.0,4566.0,22.0
Asia,Armenia,2021-07-25,2780472,228798.0,1368.0,4587.0,21.0
Asia,Armenia,2021-08-01,2780472,230339.0,1541.0,4619.0,32.0
Asia,Armenia,2021-08-08,2780472,232157.0,1818.0,4650.0,31.0
Asia,Armenia,2021-08-15,2780472,234558.0,2401.0,4695.0,45.0
Asia,Armenia,2021-08-22,2780472,237634.0,3076.0,4752.0,57.0
